Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro. 2 = Pluviógrafo. 3 = Data logger
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Acumulado

Restrições da consulta:
Código da Estação:03253005


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
3253005;1;01/01/2000;1;9.9;26.4;19;4;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5;0.6;0.0;0.0;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/07/1963;1;;;;;0;0;0;;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;7.0;7.5;0.0;17.0;6.0;0.0;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3253005;1;01/06/1963;1;30.5;115.0;16;6;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;25.0;29.0;0.0;0.0;0.0;7.5;30.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3253005;1;01/05/1963;1;25.0;66.6;2;6;1;1;0;;0;0.0;25.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;20.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/04/1963;1;31.0;72.5;2;5;1;1;0;;0;0.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;16.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;21.5;2.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3253005;1;01/03/1963;1;31.0;134.4;8;11;1;1;0;;0;2.0;0.0;0.0;0.0;0.0;0.0;3.5;31.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;10.7;0.0;18.2;28.8;4.0;4.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/02/1963;1;34.5;62.5;18;5;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.5;10.5;0.0;0.0;0.0;0.0;0.0;0.0;2.5;8.0;7.0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
3253005;1;01/01/1963;1;57.5;96.8;14;7;1;1;0;;0;0.0;0.0;7.5;6.5;1.0;0.0;0.0;0.0;12.3;0.0;0.0;0.0;7.0;57.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/12/1962;1;21.0;36.5;3;2;1;1;0;;0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/11/1962;1;52.5;115.6;29;6;1;1;0;;0;0.0;0.0;0.0;0.0;5.8;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.8;0.0;5.3;0.0;0.0;0.0;0.0;0.0;10.5;0.0;52.5;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3253005;1;01/10/1962;1;39.3;83.3;27;5;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.3;0.0;0.0;3.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/08/1962;1;61.0;95.0;10;5;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.5;61.0;0.0;0.0;0.0;0.0;10.5;0.0;0.0;0.0;5.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/07/1962;1;39.0;157.8;3;13;1;1;0;;0;20.0;23.5;39.0;26.0;1.0;0.0;0.0;0.0;0.0;1.7;0.0;0.0;0.0;0.0;17.4;1.5;1.5;0.0;0.0;0.0;0.0;0.0;1.2;0.0;1.0;0.0;0.0;0.0;0.0;16.0;8.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/06/1962;1;9.5;12.3;21;3;1;1;0;;0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3253005;1;01/05/1962;1;11.0;30.0;22;5;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;2.5;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/04/1962;1;69.0;89.5;8;4;1;1;0;;0;0.0;18.5;0.0;0.0;0.0;0.0;0.0;69.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3253005;1;01/03/1962;1;32.5;124.5;10;10;1;1;0;;0;0.0;0.0;18.0;0.0;0.0;26.0;0.0;0.0;0.0;32.5;0.0;0.0;0.0;2.5;0.0;0.0;7.0;1.5;0.0;14.0;2.0;0.0;0.0;0.0;0.0;15.0;6.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/02/1962;1;35.0;67.0;17;7;1;1;0;;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;4.0;3.5;0.0;35.0;17.5;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
3253005;1;01/01/1962;1;46.0;106.0;23;7;1;1;0;;0;0.0;0.0;13.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;5.3;0.0;0.0;0.0;0.0;0.0;2.5;2.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/12/1961;1;32.5;143.6;23;11;1;1;0;;0;5.5;10.6;3.5;0.0;0.0;0.0;0.0;0.0;0.0;11.5;3.5;0.0;0.0;0.0;0.0;0.0;21.5;2.5;0.0;21.0;1.0;0.0;32.5;0.0;0.0;0.0;0.0;30.5;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3253005;1;01/11/1961;1;30.0;70.2;1;7;1;1;0;;0;30.0;0.0;5.3;5.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2;2.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3253005;1;01/10/1961;1;52.5;109.2;14;6;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;7.7;0.0;0.0;0.0;52.5;11.0;0.0;13.2;0.0;0.0;0.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
