Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:87905000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87905000;1;01/04/2020;;1;1;;;;;;0;0;0;;0;;;24.942;23.33;19.518;17.037;14.077;13.454;12.545;11.665;10.815;10.264;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87905000;1;01/03/2020;;1;1;;;;;;0;0;0;;0;14.712;13.454;12.845;12.248;11.378;11.095;10.264;;;;;;;;;;;10.264;13.764;14.393;13.764;13.148;12.248;11.665;10.538;;;;;;;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;
87905000;1;01/02/2020;;1;1;59.129;16.021;26.886;2;29;1;1;1;;0;55.527;59.129;46.98;38.594;34.212;30.973;29.188;30.074;30.522;30.074;29.188;27.027;23.728;22.153;21.385;20.629;19.885;19.885;19.885;19.885;19.885;19.885;19.885;19.885;19.885;19.154;18.436;17.73;16.021;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;
87905000;1;01/01/2020;;1;1;145.914;37.106;58.19;12;30;1;1;1;;0;44.278;64.727;50.887;48.637;44.813;41.65;41.133;41.133;40.619;38.594;113.606;145.914;100.017;69.898;64.093;62.835;62.21;63.463;59.129;47.53;51.457;77.306;63.463;56.716;46.98;52.605;46.434;42.169;38.594;37.106;45.891;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/12/2019;;1;1;138.614;43.746;81.625;1;31;1;1;1;;0;138.614;134.139;122.822;116.919;111.15;105.516;99.243;94.654;89.428;86.503;81.492;75.934;70.558;67.29;67.29;69.242;79.386;78.69;70.558;64.093;73.223;90.166;98.471;76.619;64.727;57.917;54.349;51.457;49.756;46.434;43.746;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;
87905000;1;01/11/2019;;1;1;2693.581;145.914;653.722;1;30;2;2;2;;0;2693.581;2607.902;2425.949;2097.987;1126.89;1006.202;964.731;823.814;628.93;507.631;431.751;368.607;334.018;308.784;328.63;301.005;284.466;261.069;228.283;209.37;194.361;179.869;173.816;165.895;162.968;160.066;172.817;162.968;153.387;145.914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;
87905000;1;01/10/2019;;1;1;;;;;;0;0;0;;0;153.387;147.766;162.968;316.654;647.5;;580.383;450.19;325.951;270.807;240.922;213.752;198.597;184.985;302.295;522.487;792.178;1705.455;2055.714;1827.649;1696.422;1189.193;765.444;599.712;478.514;413.667;427.197;465.827;542.6;1001.288;2381.257;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/09/2019;;1;1;2084.945;161.998;567.359;13;30;2;2;2;;0;509.272;519.168;440.926;339.447;263.488;223.765;209.37;209.37;259.863;315.336;418.155;1375.419;2084.945;2000.935;1799.871;1456.772;752.209;587.378;501.092;419.656;354.583;306.181;280.71;253.873;222.642;208.281;194.361;180.887;170.826;161.998;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/08/2019;;1;1;;;;;;0;0;0;;0;986.602;851.309;645.426;576.899;501.092;419.656;367.193;338.086;361.564;583.875;;1023.473;1298.592;1142.344;849.005;613.953;509.272;434.799;380.006;334.018;298.433;265.918;242.086;221.522;207.194;195.416;183.957;175.823;169.834;162.968;240.922;;;;;;2;;;;;0;3;;;;;;;;;;;;;;;;;;;;
87905000;1;01/07/2019;;1;1;2033.089;83.622;513.923;28;22;1;1;1;;0;229.419;214.854;169.834;158.144;121.122;109.527;100.795;96.173;90.166;87.23;85.057;84.338;85.778;107.112;134.139;116.919;111.966;107.112;97.702;90.166;86.503;83.622;107.914;400.339;1488.1;1864.939;1953.076;2033.089;2010.561;1997.731;1508.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
